Provincia,Comune,DataEN,Parametro,Risultato,LAT_WGS84,LON_WGS84,Matrice
TS,San Dorligo della Valle - Dolina,11/13/2006 12:00:00 AM,Conducibilità elettrica a 20°C,560,45.60726,13.82014,RW-Corsi dacqua
UD,Rivignano Teor,04/29/2014 12:00:00 AM,Temperatura acqua,16,45.88776,13.06683,RW-Corsi dacqua
TS,Duino-Aurisina,12/11/2007 12:00:00 AM,Temperatura acqua,10.4,45.78741,13.59086,RW-Corsi dacqua
UD,Pozzuolo del Friuli,03/11/2019 12:00:00 AM,pH,8.3,45.98878,13.18748,RW-Corsi dacqua
TS,Duino-Aurisina,06/08/2010 12:00:00 AM,pH,7.5,45.78741,13.59086,RW-Corsi dacqua
UD,Latisana,07/15/2010 12:00:00 AM,Conducibilità elettrica a 20°C,491,45.77247,12.99656,RW-Corsi dacqua
UD,Latisana,04/08/2008 12:00:00 AM,Conducibilità elettrica a 20°C,560,45.77247,12.99656,RW-Corsi dacqua
UD,Tarvisio,04/03/2018 12:00:00 AM,Conducibilità elettrica a 20°C,254,46.4923,13.67174,RW-Corsi dacqua
UD,Rivignano Teor,07/01/2014 12:00:00 AM,Temperatura acqua,10,45.87257,13.09396,RW-Corsi dacqua
GO,Dolegna del Collio,10/07/2014 12:00:00 AM,Fosfati,0.0092,46.00092,13.46835,RW-Corsi dacqua
UD,Ragogna,04/12/2017 12:00:00 AM,Fosfati,0.06,46.17663,13.00322,LW-Laghi e invasi
UD,Tarvisio,08/01/2012 12:00:00 AM,Conducibilità elettrica a 20°C,226,46.42042,13.56553,LW-Laghi e invasi
UD,Prepotto,09/21/2016 12:00:00 AM,pH,8.2,46.0737,13.47328,RW-Corsi dacqua
UD,Forni Avoltri,09/29/2014 12:00:00 AM,pH,8.1,46.6128,12.76054,RW-Corsi dacqua
UD,Cavazzo Carnico,04/04/2011 12:00:00 AM,Temperatura acqua,10.4,46.37348,13.05836,RW-Corsi dacqua
UD,Resiutta,02/16/2010 12:00:00 AM,Conducibilità elettrica a 20°C,375,46.3881,13.21934,RW-Corsi dacqua
UD,Pocenia,02/23/2010 12:00:00 AM,Fosfati,0.043,45.87833,13.11676,RW-Corsi dacqua
PN,Sesto al Reghena,07/08/2013 12:00:00 AM,Fosfati,0.05,45.87044,12.87056,RW-Corsi dacqua
UD,Ragogna,11/18/2015 12:00:00 AM,Temperatura acqua,11.7,46.17663,13.00322,LW-Laghi e invasi
UD,San Giovanni al Natisone,03/20/2012 12:00:00 AM,Fosfati,0.0552,45.97011,13.43848,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,11/10/2014 12:00:00 AM,Temperatura acqua,12.7,45.61509,13.88149,RW-Corsi dacqua
UD,Verzegnis,05/31/2011 12:00:00 AM,pH,8.4,46.38243,13.01713,RW-Corsi dacqua
UD,Faedis,03/15/2017 12:00:00 AM,Fosfati,0.05,46.15807,13.35563,RW-Corsi dacqua
UD,Arta Terme,05/31/2018 12:00:00 AM,Fosfati,0.05,46.45995,13.03018,RW-Corsi dacqua
UD,Cavazzo Carnico,05/07/2013 12:00:00 AM,pH,8.2,46.34395,13.07128,RW-Corsi dacqua
PN,Frisanco,06/27/2014 12:00:00 AM,Temperatura acqua,17.5,46.26188,12.69275,LW-Laghi e invasi
UD,Forni di Sopra,01/02/2018 12:00:00 AM,Temperatura acqua,2.7,46.42258,12.57623,RW-Corsi dacqua
PN,Pordenone,04/27/2010 12:00:00 AM,pH,7.9,45.91421,12.62248,RW-Corsi dacqua
UD,Cervignano del Friuli,08/26/2009 12:00:00 AM,pH,7.9,45.82813,13.30712,RW-Corsi dacqua
PN,Morsano al Tagliamento,11/12/2013 12:00:00 AM,Conducibilità elettrica a 20°C,516,45.85455,12.95896,RW-Corsi dacqua
GO,Savogna d'Isonzo,10/19/2010 12:00:00 AM,Fosfati,0.1532,45.88979,13.58755,RW-Corsi dacqua
PN,Vito d'Asio,12/04/2013 12:00:00 AM,Conducibilità elettrica a 20°C,245,46.26094,12.96856,RW-Corsi dacqua
PN,Azzano Decimo,02/17/2010 12:00:00 AM,Fosfati,0.18,45.87841,12.72266,RW-Corsi dacqua
UD,San Giovanni al Natisone,05/03/2018 12:00:00 AM,pH,8.1,45.98109,13.42131,RW-Corsi dacqua
UD,Precenicco,08/16/2007 12:00:00 AM,Conducibilità elettrica a 20°C,570,45.78316,13.07991,RW-Corsi dacqua
UD,Colloredo di Monte Albano,02/20/2019 12:00:00 AM,pH,8.4,46.15804,13.15914,RW-Corsi dacqua
UD,Cividale del Friuli,08/06/2007 12:00:00 AM,Temperatura acqua,19.5,46.09232,13.43279,RW-Corsi dacqua
TS,Duino-Aurisina,06/03/2009 12:00:00 AM,Temperatura acqua,15.2,45.78741,13.59086,RW-Corsi dacqua
UD,Chiusaforte,12/01/2011 12:00:00 AM,Fosfati,0.037,46.38973,13.46895,RW-Corsi dacqua
TS,Duino-Aurisina,03/22/2006 12:00:00 AM,Temperatura acqua,11,45.78741,13.59086,RW-Corsi dacqua
UD,Pulfero,07/18/2011 12:00:00 AM,pH,8.4,46.20189,13.46946,RW-Corsi dacqua
PN,Barcis,06/08/2016 12:00:00 AM,pH,8.3,46.18944,12.57321,LW-Laghi e invasi
UD,Forni di Sopra,07/28/2008 12:00:00 AM,Fosfati,0.13,46.4294,12.54593,RW-Corsi dacqua
PN,Sesto al Reghena,08/23/2012 12:00:00 AM,Temperatura acqua,19,45.84996,12.86262,RW-Corsi dacqua
UD,Forni Avoltri,09/29/2014 12:00:00 AM,Conducibilità elettrica a 20°C,820,46.60623,12.77878,RW-Corsi dacqua
PN,Pasiano di Pordenone,04/05/2011 12:00:00 AM,Temperatura acqua,12.7,45.81916,12.58458,RW-Corsi dacqua
UD,Cervignano del Friuli,06/28/2012 12:00:00 AM,pH,8.1,45.82813,13.30712,RW-Corsi dacqua
PN,Vito d'Asio,10/11/2010 12:00:00 AM,Conducibilità elettrica a 20°C,269,46.2643,12.90903,RW-Corsi dacqua
UD,Ampezzo,05/12/2009 12:00:00 AM,pH,7.9,46.41852,12.80086,RW-Corsi dacqua
UD,Ragogna,08/24/2016 12:00:00 AM,pH,8.7,46.17663,13.00322,LW-Laghi e invasi
UD,Paularo,05/23/2012 12:00:00 AM,pH,8.3,46.5126,13.1313,RW-Corsi dacqua
UD,Malborghetto Valbruna,07/25/2019 12:00:00 AM,Conducibilità elettrica a 20°C,279,46.50858,13.43507,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,06/15/2011 12:00:00 AM,Fosfati,0.024,45.61509,13.88149,RW-Corsi dacqua
UD,Chiusaforte,01/09/2012 12:00:00 AM,pH,8.4,46.39877,13.26362,RW-Corsi dacqua
UD,Precenicco,04/17/2019 12:00:00 AM,pH,8,45.78316,13.07991,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,12/02/2013 12:00:00 AM,Temperatura acqua,8.7,45.62031,13.86865,RW-Corsi dacqua
UD,Trasaghis,02/10/2010 12:00:00 AM,Temperatura acqua,4.5,46.28569,13.09694,RW-Corsi dacqua
PN,Maniago,08/01/2013 12:00:00 AM,Temperatura acqua,18.3,46.17868,12.71005,RW-Corsi dacqua
GO,Gorizia,02/06/2013 12:00:00 AM,Conducibilità elettrica a 20°C,319,45.97918,13.62092,RW-Corsi dacqua
UD,Tarvisio,11/04/2010 12:00:00 AM,pH,8.2,46.48774,13.67263,RW-Corsi dacqua
TS,Muggia,02/25/2014 12:00:00 AM,Conducibilità elettrica a 20°C,492,45.58752,13.81634,RW-Corsi dacqua
PN,Pordenone,06/06/2018 12:00:00 AM,pH,8.8,45.99792,12.62574,RW-Corsi dacqua
PN,Claut,06/22/2015 12:00:00 AM,Fosfati,0.05,46.26961,12.49761,RW-Corsi dacqua
UD,Bagnaria Arsa,04/17/2019 12:00:00 AM,pH,8.5,45.87371,13.33068,RW-Corsi dacqua
UD,Ragogna,03/02/2017 12:00:00 AM,Temperatura acqua,7.9,46.17658,12.95722,RW-Corsi dacqua
UD,Colloredo di Monte Albano,12/31/2012 12:00:00 AM,Fosfati,0.05,46.15054,13.07833,RW-Corsi dacqua
UD,Dogna,11/18/2013 12:00:00 AM,pH,8.3,46.44798,13.3189,RW-Corsi dacqua
PN,Chions,09/01/2009 12:00:00 AM,Temperatura acqua,16.5,45.88149,12.78513,RW-Corsi dacqua
PN,Montereale Valcellina,06/27/2014 12:00:00 AM,pH,8.2,46.16759,12.65087,LW-Laghi e invasi
TS,San Dorligo della Valle - Dolina,05/30/2011 12:00:00 AM,Temperatura acqua,16,45.60726,13.82014,RW-Corsi dacqua
PN,Azzano Decimo,01/08/2013 12:00:00 AM,Fosfati,0.176,45.87169,12.68966,RW-Corsi dacqua
UD,San Giovanni al Natisone,09/10/2013 12:00:00 AM,pH,8.1,45.97011,13.43848,RW-Corsi dacqua
GO,Savogna d'Isonzo,12/14/2016 12:00:00 AM,pH,8.1,45.88979,13.58755,RW-Corsi dacqua
PN,Prata di Pordenone,01/25/2011 12:00:00 AM,pH,7.7,45.85273,12.5518,RW-Corsi dacqua
UD,Varmo,10/30/2014 12:00:00 AM,Temperatura acqua,11.6,45.90158,13.02885,RW-Corsi dacqua
PN,Montereale Valcellina,08/09/2012 12:00:00 AM,Conducibilità elettrica a 20°C,218,46.16759,12.65087,LW-Laghi e invasi
UD,Manzano,07/14/2010 12:00:00 AM,Fosfati,0.015,45.99243,13.38929,RW-Corsi dacqua
UD,Majano,03/11/2019 12:00:00 AM,pH,8.2,46.16432,13.08392,RW-Corsi dacqua
UD,Terzo d'Aquileia,06/03/2015 12:00:00 AM,Temperatura acqua,16,45.79757,13.3517,RW-Corsi dacqua
PN,Tramonti di Sotto,03/07/2011 12:00:00 AM,Fosfati,0.5,46.29873,12.81343,RW-Corsi dacqua
UD,Ragogna,08/08/2013 12:00:00 AM,Conducibilità elettrica a 20°C,490,46.16422,12.95595,RW-Corsi dacqua
UD,Colloredo di Monte Albano,02/18/2010 12:00:00 AM,Conducibilità elettrica a 20°C,552,46.15804,13.15914,RW-Corsi dacqua
UD,Sauris,10/16/2013 12:00:00 AM,pH,8.3,46.45733,12.72095,RW-Corsi dacqua
UD,Tarvisio,09/18/2013 12:00:00 AM,Conducibilità elettrica a 20°C,218,46.48161,13.67274,LW-Laghi e invasi
UD,Varmo,08/12/2014 12:00:00 AM,Fosfati,0.05,45.88253,12.97478,RW-Corsi dacqua
PN,Morsano al Tagliamento,07/13/2011 12:00:00 AM,Conducibilità elettrica a 20°C,492,45.85455,12.95896,RW-Corsi dacqua
PN,Barcis,06/08/2016 12:00:00 AM,pH,8.3,46.18944,12.57321,LW-Laghi e invasi
UD,Nimis,03/07/2012 12:00:00 AM,Fosfati,0.042,46.19579,13.27264,RW-Corsi dacqua
PN,Budoia,12/05/2012 12:00:00 AM,pH,8.1,46.03678,12.5647,RW-Corsi dacqua
PN,Sesto al Reghena,12/17/2014 12:00:00 AM,Fosfati,0.05,45.8403,12.80508,RW-Corsi dacqua
UD,Nimis,07/22/2013 12:00:00 AM,Fosfati,0.05,46.21971,13.27695,RW-Corsi dacqua
UD,Pulfero,11/23/2009 12:00:00 AM,Conducibilità elettrica a 20°C,247,46.20189,13.46946,RW-Corsi dacqua
UD,Cervignano del Friuli,09/28/2010 12:00:00 AM,Conducibilità elettrica a 20°C,465,45.82813,13.30712,RW-Corsi dacqua
PN,Andreis,05/30/2017 12:00:00 AM,pH,8.4,46.19688,12.60732,RW-Corsi dacqua
UD,San Giovanni al Natisone,06/14/2012 12:00:00 AM,Fosfati,0.0153,45.97011,13.43848,RW-Corsi dacqua
UD,Torreano,10/07/2014 12:00:00 AM,Fosfati,0.05,46.15049,13.43724,RW-Corsi dacqua
UD,Amaro,09/09/2014 12:00:00 AM,Temperatura acqua,15.3,46.37348,13.05836,RW-Corsi dacqua
GO,Gorizia,07/02/2013 12:00:00 AM,pH,7.9,45.91271,13.56315,RW-Corsi dacqua
UD,Varmo,02/20/2019 12:00:00 AM,pH,7.9,45.86671,12.98249,RW-Corsi dacqua
UD,Ragogna,04/17/2012 12:00:00 AM,Conducibilità elettrica a 20°C,295,46.17663,13.00322,LW-Laghi e invasi
TS,San Dorligo della Valle - Dolina,10/22/2014 12:00:00 AM,Fosfati,0.0214,45.61509,13.88149,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,03/22/2006 12:00:00 AM,pH,8.5,45.61085,13.8568,RW-Corsi dacqua
PN,Chions,07/13/2010 12:00:00 AM,Temperatura acqua,22.2,45.88149,12.78513,RW-Corsi dacqua
PN,Erto e Casso,06/22/2012 12:00:00 AM,Conducibilità elettrica a 20°C,214,46.27308,12.3778,RW-Corsi dacqua
UD,Nimis,10/07/2016 12:00:00 AM,Temperatura acqua,13.6,46.19586,13.27426,RW-Corsi dacqua
PN,Barcis,07/30/2013 12:00:00 AM,Conducibilità elettrica a 20°C,213,46.18944,12.57321,LW-Laghi e invasi
PN,San Vito al Tagliamento,07/10/2012 12:00:00 AM,Conducibilità elettrica a 20°C,498,45.91308,12.80721,RW-Corsi dacqua
PN,Sesto al Reghena,10/08/2013 12:00:00 AM,pH,8.1,45.8651,12.86092,RW-Corsi dacqua
UD,Chiusaforte,03/05/2013 12:00:00 AM,Temperatura acqua,7.3,46.40466,13.31672,RW-Corsi dacqua
PN,Cavasso Nuovo,04/02/2019 12:00:00 AM,Conducibilità elettrica a 20°C,229,46.20538,12.78349,RW-Corsi dacqua
PN,Chions,04/01/2015 12:00:00 AM,pH,8,45.85189,12.74504,RW-Corsi dacqua
UD,Buja,02/18/2019 12:00:00 AM,pH,8.1,46.20423,13.08325,RW-Corsi dacqua
UD,Forni di Sopra,04/22/2014 12:00:00 AM,pH,8.2,46.42258,12.57623,RW-Corsi dacqua
UD,Majano,11/16/2011 12:00:00 AM,pH,8.2,46.16432,13.08392,RW-Corsi dacqua
UD,Malborghetto Valbruna,03/21/2019 12:00:00 AM,pH,8.3,46.50373,13.39606,RW-Corsi dacqua
PN,Fiume Veneto,10/19/2009 12:00:00 AM,Conducibilità elettrica a 20°C,499,45.93318,12.78561,RW-Corsi dacqua
UD,Ampezzo,08/03/2015 12:00:00 AM,Fosfati,0.05,46.41852,12.80086,RW-Corsi dacqua
GO,Gorizia,05/21/2020 12:00:00 AM,pH,8.2,45.90601,13.55882,RW-Corsi dacqua
PN,Azzano Decimo,08/25/2009 12:00:00 AM,Fosfati,0.18,45.82945,12.67557,RW-Corsi dacqua
PN,Claut,12/14/2015 12:00:00 AM,Fosfati,0.05,46.26961,12.49761,RW-Corsi dacqua
PN,Casarsa della Delizia,12/03/2015 12:00:00 AM,Temperatura acqua,9.3,45.94564,12.8251,RW-Corsi dacqua
UD,Ragogna,10/04/2016 12:00:00 AM,Temperatura acqua,12.9,46.17658,12.95722,RW-Corsi dacqua
PN,Zoppola,04/07/2010 12:00:00 AM,Conducibilità elettrica a 20°C,348,45.97044,12.73218,RW-Corsi dacqua
UD,Bertiolo,02/22/2011 12:00:00 AM,pH,7.7,45.90231,13.05159,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,08/02/2010 12:00:00 AM,pH,8.4,45.60726,13.82014,RW-Corsi dacqua
UD,Taipana,08/09/2010 12:00:00 AM,Conducibilità elettrica a 20°C,249,46.21985,13.4038,RW-Corsi dacqua
UD,Colloredo di Monte Albano,07/22/2010 12:00:00 AM,Fosfati,0.092,46.15804,13.15914,RW-Corsi dacqua
UD,Forni di Sopra,02/13/2019 12:00:00 AM,Conducibilità elettrica a 20°C,1028,46.42258,12.57623,RW-Corsi dacqua
PN,San Vito al Tagliamento,06/14/2018 12:00:00 AM,pH,7.9,45.88464,12.83184,RW-Corsi dacqua
UD,Attimis,03/17/2014 12:00:00 AM,Fosfati,0.05,46.1948,13.32126,RW-Corsi dacqua
TS,Duino-Aurisina,06/08/2016 12:00:00 AM,pH,7.4,45.78741,13.59086,RW-Corsi dacqua
UD,Pontebba,05/08/2017 12:00:00 AM,pH,8.1,46.50523,13.36626,RW-Corsi dacqua
UD,Carlino,08/18/2010 12:00:00 AM,Fosfati,0.037,45.80499,13.19179,RW-Corsi dacqua
PN,Tramonti di Sopra,05/08/2012 12:00:00 AM,pH,7.8,46.24579,12.7472,LW-Laghi e invasi
UD,Castions di Strada,10/18/2007 12:00:00 AM,Conducibilità elettrica a 20°C,550,45.86879,13.1655,RW-Corsi dacqua
UD,Cividale del Friuli,06/14/2016 12:00:00 AM,pH,8.3,46.11001,13.47484,RW-Corsi dacqua
PN,Frisanco,04/24/2013 12:00:00 AM,Temperatura acqua,4.8,46.26188,12.69275,LW-Laghi e invasi
UD,Cividale del Friuli,04/19/2016 12:00:00 AM,pH,8.2,46.11001,13.47484,RW-Corsi dacqua
UD,Fiumicello,03/28/2018 12:00:00 AM,Conducibilità elettrica a 20°C,461,45.77522,13.41847,RW-Corsi dacqua
PN,Pasiano di Pordenone,09/02/2015 12:00:00 AM,Temperatura acqua,23,45.83923,12.62112,RW-Corsi dacqua
UD,Moggio Udinese,07/18/2019 12:00:00 AM,Fosfati,0.05,46.40083,13.21304,RW-Corsi dacqua
UD,Tarvisio,10/25/2012 12:00:00 AM,pH,8.4,46.46976,13.5648,RW-Corsi dacqua
UD,Latisana,03/13/2012 12:00:00 AM,pH,8.2,45.77247,12.99656,RW-Corsi dacqua
UD,Venzone,04/17/2012 12:00:00 AM,Temperatura acqua,9.5,46.3349,13.14581,RW-Corsi dacqua
PN,Fontanafredda,11/12/2013 12:00:00 AM,Fosfati,0.05,45.97824,12.49078,RW-Corsi dacqua
GO,Villesse,03/06/2019 12:00:00 AM,Fosfati,0.05,45.86493,13.46203,RW-Corsi dacqua
UD,Trasaghis,05/27/2013 12:00:00 AM,Fosfati,0.153,46.33162,13.0775,LW-Laghi e invasi
TS,San Dorligo della Valle - Dolina,11/04/2009 12:00:00 AM,Temperatura acqua,12.1,45.61085,13.8568,RW-Corsi dacqua
PN,Barcis,05/04/2016 12:00:00 AM,pH,8.2,46.18858,12.52984,RW-Corsi dacqua
PN,Prata di Pordenone,05/22/2017 12:00:00 AM,pH,7.8,45.85273,12.5518,RW-Corsi dacqua
UD,Comeglians,05/18/2011 12:00:00 AM,Fosfati,0.015,46.53575,12.88916,RW-Corsi dacqua
UD,San Daniele del Friuli,07/02/2015 12:00:00 AM,Temperatura acqua,21.7,46.15094,13.01912,RW-Corsi dacqua
PN,San Vito al Tagliamento,02/18/2013 12:00:00 AM,Temperatura acqua,12.5,45.91308,12.80721,RW-Corsi dacqua
UD,Tarvisio,06/15/2010 12:00:00 AM,pH,8.5,46.52571,13.62897,RW-Corsi dacqua
PN,Montereale Valcellina,11/28/2017 12:00:00 AM,pH,8.2,46.16759,12.65087,LW-Laghi e invasi
UD,San Daniele del Friuli,05/02/2013 12:00:00 AM,Fosfati,0.05,46.15279,13.03446,RW-Corsi dacqua
UD,Forni di Sopra,02/16/2010 12:00:00 AM,Conducibilità elettrica a 20°C,1114,46.42258,12.57623,RW-Corsi dacqua
UD,Fiumicello,01/20/2010 12:00:00 AM,pH,8.1,45.80293,13.43118,RW-Corsi dacqua
UD,Tarvisio,09/30/2010 12:00:00 AM,Conducibilità elettrica a 20°C,278,46.52571,13.62897,RW-Corsi dacqua
PN,San Vito al Tagliamento,02/16/2010 12:00:00 AM,pH,8.1,45.90297,12.84996,RW-Corsi dacqua
UD,Ragogna,09/11/2019 12:00:00 AM,Temperatura acqua,16.1,46.17663,13.00322,LW-Laghi e invasi
PN,Zoppola,11/08/2012 12:00:00 AM,Fosfati,0.05,45.96505,12.73086,RW-Corsi dacqua
PN,Sacile,12/10/2018 12:00:00 AM,pH,8.1,45.93979,12.49826,RW-Corsi dacqua
UD,Villa Santina,01/22/2015 12:00:00 AM,Temperatura acqua,6.2,46.41337,12.9634,RW-Corsi dacqua
PN,Azzano Decimo,09/06/2011 12:00:00 AM,Temperatura acqua,17.3,45.87841,12.72266,RW-Corsi dacqua
UD,Carlino,07/15/2008 12:00:00 AM,pH,7.5,45.80499,13.19179,RW-Corsi dacqua
UD,Ampezzo,07/19/2010 12:00:00 AM,Conducibilità elettrica a 20°C,451,46.37383,12.77979,RW-Corsi dacqua
UD,Porpetto,10/30/2019 12:00:00 AM,pH,7.8,45.86092,13.22018,RW-Corsi dacqua
UD,Tarvisio,04/26/2012 12:00:00 AM,pH,8.1,46.47608,13.66806,LW-Laghi e invasi
GO,Capriva del Friuli,09/08/2014 12:00:00 AM,Conducibilità elettrica a 20°C,501,45.9499,13.51675,RW-Corsi dacqua
UD,Trasaghis,04/29/2013 12:00:00 AM,Temperatura acqua,5.8,46.33162,13.0775,LW-Laghi e invasi
UD,Cavazzo Carnico,01/22/2008 12:00:00 AM,pH,7.8,46.37348,13.05836,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,01/07/2009 12:00:00 AM,Temperatura acqua,8,45.61085,13.8568,RW-Corsi dacqua
UD,Taipana,12/04/2018 12:00:00 AM,pH,8.4,46.23996,13.40766,RW-Corsi dacqua
UD,Malborghetto Valbruna,01/18/2011 12:00:00 AM,pH,8.4,46.50926,13.47132,RW-Corsi dacqua
PN,Pordenone,06/27/2011 12:00:00 AM,Conducibilità elettrica a 20°C,396,45.91421,12.62248,RW-Corsi dacqua
UD,Amaro,06/15/2010 12:00:00 AM,Fosfati,0.015,46.37348,13.05836,RW-Corsi dacqua
PN,Zoppola,07/06/2010 12:00:00 AM,Conducibilità elettrica a 20°C,376,45.97044,12.73218,RW-Corsi dacqua
PN,Morsano al Tagliamento,02/27/2008 12:00:00 AM,pH,8,45.87881,12.96208,RW-Corsi dacqua
UD,Forni Avoltri,01/25/2011 12:00:00 AM,pH,8.2,46.58076,12.84039,RW-Corsi dacqua
UD,Moggio Udinese,02/16/2010 12:00:00 AM,Fosfati,0.020,46.40636,13.19897,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,09/23/2014 12:00:00 AM,pH,8,45.61085,13.8568,RW-Corsi dacqua
PN,Zoppola,01/25/2010 12:00:00 AM,Conducibilità elettrica a 20°C,220,45.97044,12.73218,RW-Corsi dacqua
GO,Gorizia,10/02/2014 12:00:00 AM,Temperatura acqua,12.3,45.95484,13.612,RW-Corsi dacqua
UD,Chiusaforte,02/08/2011 12:00:00 AM,Temperatura acqua,5.7,46.38973,13.46895,RW-Corsi dacqua
UD,Ovaro,02/08/2010 12:00:00 AM,Conducibilità elettrica a 20°C,1034,46.51188,12.84665,RW-Corsi dacqua
PN,Sesto al Reghena,12/03/2015 12:00:00 AM,Temperatura acqua,12.2,45.8651,12.86092,RW-Corsi dacqua
UD,Forni Avoltri,06/15/2010 12:00:00 AM,Fosfati,0.015,46.61723,12.77942,RW-Corsi dacqua
PN,San Vito al Tagliamento,09/04/2019 12:00:00 AM,pH,8.3,45.95031,12.9059,RW-Corsi dacqua
UD,Torreano,05/10/2012 12:00:00 AM,Conducibilità elettrica a 20°C,263,46.15049,13.43724,RW-Corsi dacqua
PN,Tramonti di Sopra,09/24/2010 12:00:00 AM,pH,8.1,46.24579,12.7472,LW-Laghi e invasi
PN,Brugnera,03/14/2013 12:00:00 AM,Conducibilità elettrica a 20°C,480,45.9229,12.57857,RW-Corsi dacqua
UD,Tolmezzo,03/27/2014 12:00:00 AM,Temperatura acqua,7,46.44126,12.97313,RW-Corsi dacqua
PN,Fontanafredda,07/17/2012 12:00:00 AM,pH,8.1,45.97824,12.49078,RW-Corsi dacqua
UD,San Daniele del Friuli,10/20/2014 12:00:00 AM,Temperatura acqua,16.8,46.15094,13.01912,RW-Corsi dacqua
PN,Brugnera,05/03/2012 12:00:00 AM,Fosfati,0.2,45.88531,12.52631,RW-Corsi dacqua
UD,Fiumicello,04/14/2011 12:00:00 AM,Fosfati,0.015,45.77522,13.41847,RW-Corsi dacqua
UD,Tarcento,09/14/2011 12:00:00 AM,Fosfati,0.015,46.22915,13.22109,RW-Corsi dacqua
UD,Fiumicello,10/24/2012 12:00:00 AM,Fosfati,0.0398,45.80293,13.43118,RW-Corsi dacqua
PN,Sacile,11/17/2011 12:00:00 AM,Fosfati,0.2,45.94056,12.50017,RW-Corsi dacqua
PN,Azzano Decimo,02/21/2013 12:00:00 AM,Conducibilità elettrica a 20°C,458,45.87163,12.71642,RW-Corsi dacqua
PN,Sacile,09/02/2019 12:00:00 AM,pH,7.7,45.95305,12.48322,RW-Corsi dacqua
UD,Ragogna,11/27/2008 12:00:00 AM,pH,8,46.17658,12.95722,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,02/22/2012 12:00:00 AM,pH,8.1,45.61085,13.8568,RW-Corsi dacqua
UD,Gemona del Friuli,01/24/2006 12:00:00 AM,pH,7.9,46.24736,13.12549,RW-Corsi dacqua
UD,Paularo,08/18/2009 12:00:00 AM,Conducibilità elettrica a 20°C,684,46.51699,13.12557,RW-Corsi dacqua
UD,Attimis,01/18/2011 12:00:00 AM,Fosfati,0.015,46.18494,13.30463,RW-Corsi dacqua
GO,Capriva del Friuli,11/03/2014 12:00:00 AM,Conducibilità elettrica a 20°C,493,45.9499,13.51675,RW-Corsi dacqua
UD,Attimis,04/05/2011 12:00:00 AM,Temperatura acqua,11.2,46.18494,13.30463,RW-Corsi dacqua
UD,Forni di Sopra,05/16/2006 12:00:00 AM,Temperatura acqua,8.9,46.42258,12.57623,RW-Corsi dacqua
UD,Latisana,01/20/2010 12:00:00 AM,Temperatura acqua,8.5,45.77247,12.99656,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,11/10/2014 12:00:00 AM,Temperatura acqua,13.9,45.60726,13.82014,RW-Corsi dacqua
PN,Tramonti di Sotto,05/03/2011 12:00:00 AM,Conducibilità elettrica a 20°C,263,46.29873,12.81343,RW-Corsi dacqua
PN,Pasiano di Pordenone,07/07/2010 12:00:00 AM,Temperatura acqua,22.5,45.84111,12.64093,RW-Corsi dacqua
UD,Comeglians,02/07/2011 12:00:00 AM,Fosfati,0.193,46.52203,12.91395,RW-Corsi dacqua
UD,Cividale del Friuli,10/03/2013 12:00:00 AM,pH,8.2,46.09232,13.43279,RW-Corsi dacqua
PN,Pasiano di Pordenone,07/01/2009 12:00:00 AM,Conducibilità elettrica a 20°C,316,45.81916,12.58458,RW-Corsi dacqua
PN,Caneva,05/12/2011 12:00:00 AM,pH,7.6,46.01109,12.47573,RW-Corsi dacqua
PN,Claut,09/04/2013 12:00:00 AM,Temperatura acqua,13.3,46.33894,12.57122,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,09/13/2011 12:00:00 AM,Temperatura acqua,21.8,45.60726,13.82014,RW-Corsi dacqua
TS,Duino-Aurisina,07/04/2006 12:00:00 AM,pH,7.8,45.78741,13.59086,RW-Corsi dacqua
PN,Sacile,11/06/2013 12:00:00 AM,pH,8.1,45.95423,12.49161,RW-Corsi dacqua
GO,Savogna d'Isonzo,04/27/2010 12:00:00 AM,pH,8.2,45.88979,13.58755,RW-Corsi dacqua
PN,Pordenone,05/08/2018 12:00:00 AM,pH,7.9,45.90234,12.61639,RW-Corsi dacqua
PN,Morsano al Tagliamento,04/15/2009 12:00:00 AM,Temperatura acqua,13.7,45.87881,12.96208,RW-Corsi dacqua
UD,San Daniele del Friuli,11/14/2006 12:00:00 AM,Temperatura acqua,11.2,46.2099,13.02744,RW-Corsi dacqua
UD,Villa Santina,05/13/2009 12:00:00 AM,Conducibilità elettrica a 20°C,433,46.41481,12.90662,RW-Corsi dacqua
UD,Amaro,06/15/2010 12:00:00 AM,Conducibilità elettrica a 20°C,593,46.37348,13.05836,RW-Corsi dacqua
UD,Gemona del Friuli,04/17/2013 12:00:00 AM,Temperatura acqua,11.8,46.25318,13.12426,RW-Corsi dacqua
